thread_id,brand,customer_tweet_id,customer_text,gold_reply,created_at
uber_2408,Uber_Support,2408,"@115877 dealing with a driver who is literally incompetent and just swore down the phone, i hope this isn’t what ubereats stands for?",@116266 We're so sorry for the trouble. Send us a note via https://t.co/G6utFs8cUp so we can assist.,Sun Nov 26 00:24:54 +0000 2017
uber_2410,Uber_Support,2410,.@115873 I️t took our driver over 5 minutes to start moving for our ride. We have a flight to catch. If they can’t do the ride then they shouldn’t accept I️t. #CustomerService,@116267 Here to help! Send us a note here https://t.co/fS660rQ8NQ so we can assist.,Sun Nov 26 00:24:29 +0000 2017
uber_2412,Uber_Support,2412,How did I not get a ride out of this surge!? I’m at the Four Seasons resort and there is only one car around me and it’s farther away. Thanks @115873. #scrubered. https://t.co/qdicFjZlXB,@116268 We can take a look! Send us a note via https://t.co/tv4psVy8sr so our team can get in touch.,Sun Nov 26 00:17:09 +0000 2017
uber_2414,Uber_Support,2414,Ugh! @115873 is there a reason you disabled my ability to respond to a complaint you guys asked me to resend information to?,@116269 Here to help! Send us a DM with your email address with more info so we can assist.,Sun Nov 26 00:01:10 +0000 2017
uber_2417,Uber_Support,2417,@Uber_Support I submitted an online request and expect a cancellation credit to my account as I would of had to pay. Thank you!,@116270 Here to help! Send us a DM with your email address so we can assist.,Sun Nov 26 01:07:05 +0000 2017
uber_2418,Uber_Support,2418,Hey @116271 my scheduled ride canceled on me when he was 1 minute away. If I cancel I pay $5. I need a $5 credit.,@116270 Here to help! Follow up here; https://t.co/h840Iouehc and our team will connect right away.,Sun Nov 26 00:17:39 +0000 2017
uber_2422,Uber_Support,2422,@Uber_Support Thank you for your response. Put in a request and am waiting for reply!,@116272 We're here to help! Send us a DM with your email address so we can follow up.,Sun Nov 26 00:47:30 +0000 2017
uber_2423,Uber_Support,2423,@115877 just made a $35 ubereats order from @116273 and did not receive my burrito. Who should I contact?,@116272 We can definitely take a look! Send us a note via https://t.co/nFTc4ODH3P so we can assist.,Sun Nov 26 00:19:51 +0000 2017
uber_2426,Uber_Support,2426,@Uber_Support Or even reply.,"@116274 We're following up with you via DM, be on the look out for our response.",Sun Nov 26 00:11:26 +0000 2017
uber_2429,Uber_Support,2429,@116276 any reason I’m trying to Inform ur support staff that my debit card is being charged fraudulently from another Uber account while I’m at work and no one seems to care?,"@116275 We'd be happy to look into this, Frank. Please provide the email address you used to reach out to us so we can further review and assist.",Sat Nov 25 23:57:36 +0000 2017
uber_2432,Uber_Support,2432,.@115877’s surge pricing is ridiculous. I literally just ordered the exact same food from @425 on @154 for $13 less. 🙄,@116277 The busy area fee helps us maintain the reliability &amp; speed of our service. You can try again later when there may be less demand.,Sun Nov 26 00:12:04 +0000 2017
uber_2434,Uber_Support,2434,"@Uber_Support Is there a way I can address a specific issue? Though i already received compensation for that ride i reported, I'd like to mention it would've been avoided if the route to my location was plotted correctly. The map told him to pass through a route that had a dead end","@116278 We're here to help! Send us a note here, https://t.co/z33D4A8p40 and our team will be in touch.",Sun Nov 26 00:11:26 +0000 2017
uber_2436,Uber_Support,2436,Hi @Uber_Support I have a problem with a cancellation fee I was charged but the case fits none of the options. How can I report i this?,@116278 Here to help. Send us a note at https://t.co/QsI1vsvcif so our team can connect.,Fri Nov 24 23:12:52 +0000 2017
uber_2438,Uber_Support,2438,"@115873 awful customer service, why bother trying to contact the head office?","@116279 Hi, Jenny! Kindly send us details regarding your concern so our team can assist.",Sun Nov 26 00:13:30 +0000 2017
uber_2440,Uber_Support,2440,"@Uber_Support i’m already registered as a driver, lower the age requirement or let me bypass the rule please",@116280 Here to help! Contact us here; https://t.co/uRjsQ64qLY so we can take a closer look.,Sun Nov 26 00:27:31 +0000 2017
uber_2443,Uber_Support,2443,@Uber_Support i’m 4 months away from being 21 and have driving experience including delivery. i feel i should be able to drive now instead of waiting to be 21,@116280 Hi! Please visit https://t.co/Xaf6cZMUVR for more information.,Sun Nov 26 00:44:53 +0000 2017
uber_2441,Uber_Support,2441,@115873 i’m only a few months away from 21. let me drive anyway,@116280 Here to help! For more info please visit;https://t.co/Xaf6cZMUVR.,Sun Nov 26 00:12:27 +0000 2017
uber_2446,Uber_Support,2446,"@Uber_Support That's a big lie otherwise my account would be up and running, stop lying, I'll make it public all the lies your guys have told me, been told it would only take 48 hours been waiting 5 DAYS","@116281 Hey there, Jasmany! We can see that a member of our team is looking into this for you. In an effort to enhance your support experience, and to avoid further confusion we'll be following up with any further questions or concerns you may have through in-app support.",Sun Nov 26 21:36:43 +0000 2017
uber_2447,Uber_Support,2447,"@116276 ANSWER ME, WHY IF I REPORT ANOTHER DRIVER WITH A GUN IN HI VEHICLE MY ACCOUNT GETS PUT ON HOLD????????","@116281 Sorry to hear about the trouble, Jasmany. We've escalated your concern - a member of our team will be in touch shortly via in-app. These type of issues are handled off social media. We apologize for any inconvenience this may have caused.",Sat Nov 25 23:56:44 +0000 2017
uber_2451,Uber_Support,2451,"@Uber_Support I already messaged you her email address. Not sure what you mean with in-app support, but do you realize you guys deactivated her account?",@116282 Here to help! Please confirm the email address or phone number through direct message so we can further assist,Sun Nov 26 01:40:47 +0000 2017
uber_2452,Uber_Support,2452,"@115873 @Uber_Support My wife account got charged w 2 uber eats orders we never placed. Called help number, and after 20 min hold, all we were told had to email uber help Seriously?","@116282 We definitely want to take a closer look. However, due to our policy terms and conditions, we will need to discuss this with the account holder. Please message us with the email address associated with the account and we'll follow up with her directly via in-app support.",Sun Nov 26 00:05:45 +0000 2017
uber_2455,Uber_Support,2455,An uber driver 1)let me drive 2)started petting my hair as I drive 3)hugged me goodbye and 4)proceeded to touch my ass dyring said weird ass hug @115873 get ur shit together,@116283 We're here to help. Send us a DM with your email address so we can assist.,Sun Nov 26 00:05:53 +0000 2017
uber_2457,Uber_Support,2457,"@Uber_Support I booked a trip with you tonight, and after I paid for the trip the driver never came and the drive was completed in the app, what can we do to get our money back?",@116284 Here to help. Send us a note at https://t.co/e8HVorX5rh so our team can connect.,Sun Nov 26 00:08:26 +0000 2017
uber_2459,Uber_Support,2459,@Uber_Support I definitely did this to no avail - it kept defaulting to the terminal.,"@116285 Sorry to hear about the trouble, Eric! At airports, there are usually only specific pick up zones which would then make moving the pin to your exact location default back to the designated pick up zone. We apologize for the inconvenience.",Sun Nov 26 00:13:14 +0000 2017
uber_2460,Uber_Support,2460,"@Uber_Support; why do you make it impossible to arrange for a pick up at an FBO at an airport? I'm in the US and no matter what I do, the pick up location defaults to the terminal. I'm not at the the terminal. I'm at the FBO. You guys lost 3 rides tonight.","@116285 Hi, Eric. Kindly visit this link for more info; https://t.co/HULHsCQlaL",Sun Nov 26 00:01:53 +0000 2017
uber_2463,Uber_Support,2463,"For those of you who saw my insta story earlier today, I am safe. I got into a car accident while riding in my @115873 and am currently being checked out in the ER. Moments like this make me realize how quickly things in life can change and how lucky I am to be here. I thank God.",@116286 We absolutely want to follow up right away. Please send us a DM with your email address so we can connect.,Sun Nov 26 00:01:09 +0000 2017
uber_2465,Uber_Support,2465,"@115873 @116288 My friend, Harsh Ranjan left his phone in uber cab while returning home. He tried calling his phone, it rang at the beginning then after few seconds it's coming as switched off. I am sharing the driver details and trip details. Kindly help. https://t.co/m1QNY1rSm2",@116287 Due to our privacy policy we're not able to address these concerns over social. Please have the account holder (or the person you're writing in for) contact us at https://t.co/rOtqyWzf0B so we can assist them further. Please let us know if you have any other questions.,Sun Nov 26 00:02:29 +0000 2017
uber_2467,Uber_Support,2467,@Uber_Support Minimum fare rides lose money. Fix it.,@116289 We can definitely take a look! Send us a DM with your email address so we can follow up.,Sun Nov 26 00:02:26 +0000 2017
uber_2469,Uber_Support,2469,@Uber_Support Already did weeks ago. Been answered to reboot/reinstall.,@116290 Happy to help! Please confirm your email address or phone number through direct message (DM) so our team can assist you further.,Sun Nov 26 00:00:07 +0000 2017
uber_2471,Uber_Support,2471,@Uber_Support Well paypal payment not working since the start of the week.,@116290 Here to help! Send us a DM with your email address so we can assist.,Sat Nov 25 02:56:26 +0000 2017
uber_2474,Uber_Support,2474,@Uber_Support since the ParisGamesWeek your system dosnt work by paypal. F*** it i'm taking taxis.,@116290 Here to help. Send us a note at https://t.co/5MN4s6W3AA so our team can connect.,Sat Nov 25 02:49:59 +0000 2017
uber_2476,Uber_Support,2476,@Uber_Support I already tried this. It failed.,@116291 We're here to help! Send us a DM with your email address so we can follow up.,Sat Nov 25 23:59:37 +0000 2017
uber_2478,Uber_Support,2478,When your @115873 driver accuses you of stealing his “hustle” money from his cup holder but then finds it under his seat and was rude and disrespectful &amp; denies you a refund...,@116291 Here to help! Send us a note at https://t.co/fS660rQ8NQ so our team can connect.,Sat Nov 25 23:21:05 +0000 2017
uber_2480,Uber_Support,2480,@115877 Tell me why I've called support four times and been on hold for ages every time .. If no one answers what's the point of having a support number,@116292 We're here to help. Can you please send us a DM with your email address so we can look into this?,Sat Nov 25 23:56:03 +0000 2017
uber_2494,Uber_Support,2494,"@115877 AND NOW, I CAN'T EVEN REORDER BECAUSE THE RESTAURANT IS CLOSED!!!!!!!!!!!!!!!!!!!!!!!!!! UBER EATS UBER SUCKS.",@116299 So sorry to hear this. Please send us a DM with your email address so we can help.,Wed Nov 01 02:40:51 +0000 2017
uber_2714,Uber_Support,2714,@Uber_Support I Dm'ed you!,@116355 Thank you for following up. A member of our team will be in touch shortly through DM.,Wed Nov 01 02:26:52 +0000 2017
uber_2717,Uber_Support,2717,"@Uber_Support I need help with my Account, It gets disabled every time I try to login and it's getting really frustrating!😬😠",@116355 It seems a member of our team has reached out to you. Please check your email and follow up with them there.,Wed Nov 01 01:18:59 +0000 2017
uber_2719,Uber_Support,2719,@Uber_Support @115877 you haven’t “reached out”. Please refund the cost of the inedible food without delay,@116356 We've folllwed up via DM.,Thu Nov 02 12:25:46 +0000 2017
uber_2724,Uber_Support,2724,"Hi @115877 this is an inadequate response to me telling you I had to throw away the entire £18 order. If eat in, would’ve been sent back https://t.co/lqjrLk8BYw",@116356 We're here to help! Send us a DM with your email address so we can connect.,Mon Oct 30 22:43:04 +0000 2017
uber_2726,Uber_Support,2726,@Uber_Support I ordered food through uber eats. I did not get the delivery. Please contact me.,@116357 Here to help! Send us a note at https://t.co/nFTc4ODH3P so our team can connect.,Tue Oct 31 22:24:15 +0000 2017
uber_2728,Uber_Support,2728,"Hey, all, this guy picked my cousin up in Pittsburgh on Friday for @115873 and tried sexually assaulting her. His name is Feruzbek. https://t.co/rfzLT3fn5Q",@116358 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,Tue Oct 31 22:19:35 +0000 2017
uber_2733,Uber_Support,2733,.@115873 how do i dispute a charge?,@116360 We're here to help! Send us a DM with your email address and specific details of your issue so we can follow up.,Tue Oct 31 22:17:41 +0000 2017
uber_2735,Uber_Support,2735,@Uber_Support it's fucking cold and we have to wait 15 min. I want to cancel my taxi. It doesn't work. Pls help. There are taxis inf front,@116361 Here to help. Send us a note at https://t.co/e8HVorX5rh so our team can connect.,Wed Nov 01 02:22:36 +0000 2017
uber_2942,Uber_Support,2942,LOLLLLL our uber just got pulled ov by tu police and £100 fine,@116389 We take this very seriously. Please send us a DM with your email address and additional details so we can connect ASAP.,Wed Nov 01 02:26:13 +0000 2017
uber_3161,Uber_Support,3161,@Uber_Support Already spoke with you guys through the app. Wasn't helpful.,@116437 Thanks for following up. Please confirm your email address or phone number through direct message so we can further assist.,Fri Dec 01 06:27:15 +0000 2017
uber_3163,Uber_Support,3163,"Uber driver drove me to wrong location, makes me get out anyway and @115873 won't provide a proper refund 🙃🙃🙃 #Delete #Fail Sup @115879 😘😘😘",@116437 Happy to further assist you. Can you please send us a DM with your email address and additional details so we can follow up?,Fri Dec 01 06:10:17 +0000 2017
uber_3640,Uber_Support,3640,So upset with ubereats! No one will get back to ME!! @Uber_Support @115877 @115877,@116581 Here to help. Send us a note at https://t.co/xRfusvlJhN so our team can connect.,Wed Nov 01 02:37:14 +0000 2017
uber_3717,Uber_Support,3717,"#uber : how funny when Uber Ask you to add even 10/- incase of low balance, and then deduct 50/- for their driver cancelling the ride.😡😡😡",@116608 Here to help! Connect with us through https://t.co/zUe0dj6yoX and we'll be in touch.,Wed Nov 01 02:21:10 +0000 2017
uber_3719,Uber_Support,3719,@Uber_Support Are you going to email me or not,"@116609 We've replied via DM, please follow up there.",Wed Nov 01 02:59:58 +0000 2017
uber_3721,Uber_Support,3721,@Uber_Support my driver crashed and I hit my head happy Halloween,@116609 We hope everyone is ok. Please DM us your email address so we can follow up immediately.,Wed Nov 01 00:59:21 +0000 2017
uber_3801,Uber_Support,3801,@Uber_Support Hello??? What's going on????,@116634 We're here to help. We just sent you a DM.,Wed Nov 01 00:05:29 +0000 2017
uber_3802,Uber_Support,3802,@Uber_Support WTF??? Trying to book &amp; it just says Oops. Trying to get help &amp; nothing is working. HELP!!! I need to book urgently #uberdrama,"@116634 Hi, we're here to help. Please DM us the email linked to your Uber account so we can look into this for you.",Tue Oct 31 23:08:14 +0000 2017
uber_3805,Uber_Support,3805,"@115873 why charge higher than the rate range when I order? Ordered uberblack in Geneva for a 5-min ride. Range was Ch19 -24, charged Ch32.38.","@116635 Here to help. For more info regarding your concern, please visit: https://t.co/UYuIveoHXo",Tue Oct 31 22:26:48 +0000 2017
uber_3807,Uber_Support,3807,Hey @115873 I’m currently in a car with the worlds dumbest driver. Y’all need to start checking these fools,@116636 Here to help! Send us a note via https://t.co/fS660rQ8NQ so our team can connect.,Tue Oct 31 22:28:41 +0000 2017
uber_3809,Uber_Support,3809,@Uber_Support one of your drivers just started my ride without picking me up,@116637 Here to help. Send us a note at https://t.co/fS660rQ8NQ so our team can connect.,Tue Oct 31 22:25:24 +0000 2017
uber_3811,Uber_Support,3811,"@Uber_Support help! My vehicle registration expires today. I paid my license dept last week but have not received it in the mail, to upload.","@116638 We're here to help! Send us a note here, https://t.co/tv4psVy8sr and our team will be in touch.",Tue Oct 31 22:27:09 +0000 2017
uber_3813,Uber_Support,3813,"@115873 ordered a car, took longer than the suggested 6 mins, then you wanted to charge me a £5 cancellation fee. You’re having a bubble bath!",@116639 Here to help! Send us a note here; https://t.co/h840Iouehc and our team will be able to assist!,Tue Oct 31 22:41:13 +0000 2017
uber_3815,Uber_Support,3815,Wtf just happened. @115873 how do i complain abott a driver who canceled on me due to discriminatory and racist judgements.#uber,@116640 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,Tue Oct 31 22:26:59 +0000 2017
uber_3817,Uber_Support,3817,@115873 I had a horrifying experience with the driver Suresh: 9958520468. he refused to pickup and threaten me cancel the booking or else...,@116641 We see your outreach and a member of our team will be following up via email as soon as possible. We appreciate your patience.,Tue Oct 31 22:21:24 +0000 2017
uber_3819,Uber_Support,3819,@Uber_Support hello! I meant as a user not as an associate!!,"@116642 We're here to help! For more info, visit us at; https://t.co/AUc7vJQ0VM.",Tue Oct 31 22:49:05 +0000 2017
uber_3821,Uber_Support,3821,"@Uber_Support I live in Mexico City, have not received facturas in the last 2 months and need then ASAP for tax report. please help!",@116642 Hi there! Please send us a note via https://t.co/EkibplQL1j so we can assist further.,Tue Oct 31 21:27:55 +0000 2017
uber_4585,Uber_Support,4585,@Uber_Support Already responded. No response. New order is 30minutes late. @116788 would do a better job. Using them from now on. Loyal customer just lost.,@116787 Happy to help! Please confirm your email address or phone number through direct message so we can further assist.,Fri Dec 01 06:26:04 +0000 2017
uber_4587,Uber_Support,4587,@115873 4 tweets and no customer service response. Ridiculous. Absolutely shocking for an “elite” customer service app. No wonder people are streaming to other apps,@116787 Happy to take a look. Send us a DM (direct message) with your email address so we can connect.,Fri Dec 01 06:16:38 +0000 2017
uber_4919,Uber_Support,4919,Having a terrible time getting @115877 to move charges to a correct credit card. 10+ emails deep and have to keep explaining. Help!,@116866 We're here to help! Send us a DM with your email address and more details so we can follow up.,Tue Oct 31 22:39:32 +0000 2017
uber_4921,Uber_Support,4921,So my $12 ride just turned into $387. Really @115873 ??? https://t.co/0mxOCJC81m,@116867 We're here to help! Send us a DM with your email address so we can connect.,Tue Oct 31 22:38:07 +0000 2017
uber_4923,Uber_Support,4923,@Uber_Support how do you add a driver?,@116868 Here to help! Contact us here; https://t.co/lu151EysvX so we can take a closer look.,Tue Oct 31 22:42:15 +0000 2017
uber_4925,Uber_Support,4925,@Uber_Support UR team messed up again lol,@116869 Here to help! Please send us a DM with your email address with details so we can follow up.,Thu Nov 02 02:45:58 +0000 2017
uber_4926,Uber_Support,4926,"@115873 I've been using the service for more than a year and never had any issues, the last week I've been charged for ur drivers mistakes.",@116869 Here to help. Send us a note at https://t.co/1xM0TILvAI so our team can connect.,Tue Oct 31 22:34:36 +0000 2017
uber_5859,Uber_Support,5859,"@115877 you failed me, seriously a burrito and queso when I ordered a salad?! And no request to get this fixed... help me out!",@117111 Here to help! Send us a note at https://t.co/Tq0sPMsSdu so our team can connect.,Tue Oct 31 23:13:19 +0000 2017
uber_5861,Uber_Support,5861,@Uber_Support This is out of date. The site https://t.co/gEBwRjewXQ is no longer online. Found this https://t.co/fvCb7ejJPp but I'm not recieving anything,@117112 We're so sorry about that! Please DM us your email address so we can further assist.,Wed Nov 01 00:51:33 +0000 2017
uber_5862,Uber_Support,5862,@Uber_Support Hi! I have a problem getting my invocie in Mexico (tax-legal facturas). Can you help or do you have a help center for Mexico?,@117112 Find out more info about getting your invoice here: https://t.co/AUc7vJQ0VM,Tue Oct 31 23:04:20 +0000 2017
uber_5865,Uber_Support,5865,I need a hookup with an @115873 promo code. Help a nigga out! #uberpromo #fucklyft #uber,@117113 Here to help! Check out https://t.co/FQNTfKa7k0 for more information on earning free rides.,Tue Oct 31 23:08:20 +0000 2017
uber_5867,Uber_Support,5867,@117115 @115877 just ordered for the first time. Order botched. Driver cant fix. Bayonne McDs wont answer phone. #fail #neveragain,@117114 Sorry to hear about that! Send us a note at https://t.co/qLzKaGQcAg so our team can further assist.,Tue Oct 31 23:07:15 +0000 2017
uber_6968,Uber_Support,6968,"@Uber_Support I don't have any card, so cannot fill the required field. I just want to know if it's a service only for inside USA or not, before purchase.",@117199 Happy to take a closer look! Send us a DM with your email address so we can follow up.,Wed Nov 01 01:03:01 +0000 2017
uber_6969,Uber_Support,6969,@Uber_Support Question! Can we send a Gift Card (maybe digital) out of US? I'm in Panama and want to send a gift card to someone in Panama,@117199 Here to help! Please send us a note at https://t.co/R8Xm8a7StU and we'll be happy to look into this for you.,Tue Oct 31 23:02:50 +0000 2017
uber_6973,Uber_Support,6973,Some of the worst delivery service I have ever received in my life @115877,@117200 We're here to help. Can you please send us a DM so we can connect?,Tue Oct 31 23:24:12 +0000 2017
uber_6976,Uber_Support,6976,@Uber_Support i change my number i need to update and i'm having problems cause in the app don't let me do that even in the site help!!,@117201 Here to help! Send us a note here https://t.co/RY2a0oDSbF so we can further assist.,Tue Oct 31 23:00:57 +0000 2017
uber_6979,Uber_Support,6979,".@Uber_Support Thanks to your AMAZING customer service, you have just lost 2 customers who have spent nearly $1500 this year. GREAT WORK!",@117202 We're here to help! Send us a DM with your email address and more details so we can follow up.,Tue Oct 31 23:12:45 +0000 2017
uber_6981,Uber_Support,6981,@Uber_Support page isn't working...,"@117203 Sorry to hear the trouble, Prashant! Let's get this sorted out via https://t.co/QsI1vsvcif and a member of our team will be in contact.",Wed Nov 01 17:12:56 +0000 2017
uber_6984,Uber_Support,6984,@Uber_Support This is what m getting everytime...Any response to this ? https://t.co/ZgFJCQjRN8,@117203 Sorry to hear about the trouble! We're not seeing any issues on our end. Have you tried clearing your cookies?,Thu Nov 02 16:47:14 +0000 2017
uber_6982,Uber_Support,6982,"WTH !! @115873 Totally unprofessional. First,Cancelled the ride without informing me and Second, charging me for that. 😡😠","@117203 We can definitely take a closer look! Contact us here; https://t.co/593jusCquh , so we can help.",Tue Oct 31 23:06:02 +0000 2017
uber_6987,Uber_Support,6987,"We ordered food on @115877 for 8 hungry neighborhood kids, AND THEY CANCELLED THE ORDER AFTER AN HOUR OF WAITING. R you eff'n kidding me?!",@117204 Here to help. Send us a note at https://t.co/P4hKbfQBbP so our team can connect.,Tue Oct 31 22:57:34 +0000 2017
uber_6989,Uber_Support,6989,@Uber_Support I'm ready 2 file a complaint with Better Business Bureau &amp; FTC over misleading info Uber sent 2 me in an email &amp; overcharging,@117205 We apologize for the trouble! Send us a DM with your email address with additional details and we'll follow up.,Tue Oct 31 23:29:55 +0000 2017
uber_6991,Uber_Support,6991,. @Uber_Support I ORDERED CHIPS AND QUESO AND I GOT NO CHIPS PLEASE HELP,@117206 Here to help! Send us a note at https://t.co/ZFaWy0Lkdu so our team can further assist.,Tue Oct 31 22:52:58 +0000 2017
uber_7016,Uber_Support,7016,"@Uber_Support Hi. I lost my phone in an Uber. App asks me to submit my phone number to make contact,I only had mobile as travelling.",@117215 Happy to help! Please confirm your email address or phone number through direct message so we can further assist.,Fri Dec 01 14:57:15 +0000 2017
uber_8583,Uber_Support,8583,"@Uber_Support just got kicked out of this guy’s car because he didn’t want to drive me home. Insult to injury, you charge me $7. #uberfail https://t.co/pJZuJmyyEj",@117512 We take this very seriously. Please send us a DM with your email address so we can connect ASAP.,Tue Oct 31 23:22:24 +0000 2017
uber_8585,Uber_Support,8585,So how about my goddamned money https://t.co/FIf624cXYJ,@117513 Here to help. Send us a note at https://t.co/1xM0TILvAI so our team can connect.,Tue Oct 31 23:32:44 +0000 2017
uber_8591,Uber_Support,8591,"@Uber_Support Remedy &amp; please refund my $5, that's breakfast money tomorrow, thank you. https://t.co/dT6DYbPZO6","@117514 Hi there, we're here to help! Send us a note via https://t.co/w7r2O6dMbU so our team can connect.",Tue Oct 31 18:34:39 +0000 2017
uber_8593,Uber_Support,8593,@Uber_Support @117516 this was our driver she was so rude and tried to sell us fishplates during our ride. https://t.co/J8OtncW9vI,@117515 Sorry to hear about that! Send us a DM with your email address so we can follow up.,Tue Oct 31 23:17:00 +0000 2017
uber_8595,Uber_Support,8595,@Uber_Support me and my good sis @117516 had an issue with a driver recently...can you please help?,"@117515 Hi there, we're here to help! Send us a note here; https://t.co/z8NNR56eyf so we can assist you with this.",Tue Oct 31 21:50:55 +0000 2017
uber_8598,Uber_Support,8598,@115877 @117518 am I going to get a refund...? https://t.co/67jUGLxYLH,@117517 Find out more info about cancelled order here: https://t.co/BjBRiTu5jM,Tue Oct 31 23:30:13 +0000 2017
